"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"ATP10A"	2.16450216450216	0.289548546691404	0.0649790500793418	0.287218045112782	4.45602923308135	0.558333333333333	0.289532846965236	0.827133819701431
"ATP1B1"	0	-0.316635745207174	0.0718297325462579	-0.323308270676692	-4.40814317390452	0.616666666666667	0.362276930369476	0.871056402963858
"ATP2B4"	0	-0.259987631416203	0.0605779421506953	-0.270676691729323	-4.29178711236923	0.425	0.161914152133553	0.688085847866447
"ATP5O"	0	0.0816326530612245	0.0709592913757375	0.087218045112782	1.15041528006488	0.558333333333333	0.293797065251563	0.822869601415104
"ATP8B4"	0.865800865800866	0.234013605442177	0.0764206553660487	0.231578947368421	3.06217742207615	0.558333333333333	0.295001783010471	0.821664883656196
"ATP9A"	0	-0.08286951144094	0.0786840856136503	-0.0827067669172932	-1.05319278726629	0.45	0.194933243912669	0.705066756087331
"ATXN1"	0	-0.0993197278911565	0.0698407489575416	-0.111278195488722	-1.42208852816765	0.591666666666667	0.336399265988901	0.846934067344433
"AXIN2"	0	0.24465058750773	0.0702854925366785	0.249624060150376	3.48081202362009	0.391666666666667	0.141646799719719	0.641686533613614
"B4GALT6"	0	0.00940012368583797	0.0652964903911294	0.00451127819548872	0.143960626819769	0.558333333333333	0.302222837632293	0.814443829034374
"BACH2"	0	0.109461966604824	0.076495208470082	0.111278195488722	1.43096500805845	0.525	0.266960839454617	0.783039160545384
"BANK1"	0	-0.0289424860853432	0.0808132337273649	-0.0105263157894737	-0.358140427630763	0.725	0.495760831913723	0.954239168086277
"BCKDHA"	0.432900432900433	0.152752009894867	0.0864455121743384	0.13984962406015	1.76703227330998	0.725	0.498528122676349	0.951471877323651
"BCL2"	0	0.210884353741497	0.0765435116120447	0.204511278195489	2.75509118016885	0.55	0.273130499422376	0.826869500577624
"BCORL2"	0	-0.213358070500928	0.0781485666645192	-0.215037593984962	-2.73015974070061	0.408333333333333	0.156659181551492	0.660007485115175
"BLK"	0	-0.0677798392084106	0.075606403435955	-0.0766917293233083	-0.896482786220957	0.591666666666667	0.338540577639531	0.844792755693803
